ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,X,Y,VICTIMA,ACUSADO
2021-0063,1,2021-08-02,2021,8,2,04:40:00,4.0,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,7,-58.46851293,-34.63348678,AUTO,AUTO
2021-0064,1,2021-08-02,2021,8,2,20:00:00,20.0,"PAZ, GRAL. AV. Y TONELERO",GRAL PAZ,9,-58.52931141,-34.65422917,PEATON,CARGAS
2021-0065,1,2021-08-06,2021,8,6,08:30:00,8.0,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,6,-58.42675754,-34.6269973,PEATON,PASAJEROS
2021-0066,1,2021-08-06,2021,8,6,20:00:00,20.0,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,11,-58.52933723,-34.61098186,PEATON,PASAJEROS
2021-0067,1,2021-08-08,2021,8,8,09:29:00,9.0,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,1,-58.37910943,-34.62764718,MOTO,OBJETO FIJO
2021-0068,1,2021-08-15,2021,8,15,06:10:00,6.0,"BEIRO, FRANCISCO AV. 5071",AVENIDA,11,-58.52161176,-34.61164474,MOTO,OBJETO FIJO
2021-0069,1,2021-08-20,2021,8,20,17:15:00,17.0,AV. SANTA FE 3428,AVENIDA,14,-58.41354692,-34.5869768,PEATON,AUTO
2021-0070,1,2021-08-28,2021,8,28,08:30:00,8.0,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,8,-58.43960781,-34.65470804,MOTO,CARGAS
2021-0071,1,2021-08-31,2021,8,31,16:00:00,16.0,SAN LUIS 2730,CALLE,3,-58.4045461,-34.60003693,PEATON,MOTO
2021-0072,1,2021-09-01,2021,9,1,19:10:00,19.0,CALLAO AV. Y PARAGUAY,AVENIDA,2,-58.39303911,-34.59871111,PEATON,AUTO
2021-0073,1,2021-09-18,2021,9,18,12:20:00,12.0,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,2,-58.39391034,-34.58405348,BICICLETA,AUTO
2021-0074,1,2021-09-20,2021,9,20,15:00:00,15.0,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,12,-58.5007381,-34.5497951,MOTO,MULTIPLE
2021-0075,1,2021-09-21,2021,9,21,14:30:00,14.0,SALTA Y BRASIL,CALLE,1,-58.38281301,-34.62786038,PEATON,CARGAS
2021-0076,1,2021-10-16,2021,10,16,06:15:00,6.0,"MORENO, PERITO AV. 2152",AVENIDA,7,-58.43980799,-34.65094083,MOTO,OBJETO FIJO
2021-0077,1,2021-10-18,2021,10,18,07:20:00,7.0,DIRECTORIO AV. 1169,AVENIDA,6,-58.44402387,-34.62933109,MOTO,CARGAS
2021-0078,1,2021-10-23,2021,10,23,06:35:00,6.0,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,6,-58.42779702,-34.62207347,MOTO,PASAJEROS
2021-0079,1,2021-10-25,2021,10,25,03:30:00,3.0,TUCUMAN 3112,CALLE,3,-58.40944147,-34.60097942,PEATON,AUTO
2021-0080,1,2021-10-28,2021,10,28,16:16:00,16.0,ARENALES Y 9 DE JULIO AV.,AVENIDA,1,-58.38277479,-34.5943016,MOTO,AUTO
2021-0081,1,2021-11-02,2021,11,2,13:35:00,13.0,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,4,-58.37627355,-34.63800916,MOTO,CARGAS
2021-0082,1,2021-11-06,2021,11,6,04:39:00,4.0,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,3,-58.39591856,-34.62453459,MOTO,AUTO
2021-0083,1,2021-11-09,2021,11,9,00:35:00,0.0,CABILDO AV. Y OLAZABAL,AVENIDA,13,-58.45829717,-34.56015762,MOTO,AUTO
2021-0084,1,2021-11-11,2021,11,11,03:00:00,3.0,TAPALQUE Y BRUIX AV.,AVENIDA,9,-58.49142611,-34.64584795,AUTO,OBJETO FIJO
2021-0085,1,2021-11-20,2021,11,20,18:30:00,18.0,"PAZ, GRAL. AV. Y EZEIZA",GRAL PAZ,12,-58.51271409,-34.57786555,MOTO,OBJETO FIJO
